"Academic Year","Term","Subject","Course No.","Course Title","Instructor","GPA","A (%)","A- (%)","B+ (%)","B (%)","B- (%)","C+ (%)","C (%)","C- (%)","D+ (%)","D (%)","D- (%)","F (%)","Withdraws","Graded Enrollment","CRN","Credits"
"2018-19","Spring","CS","2304","Python Programming","Lohani","3.76","90.5","0","0","4.8","0","0","0","0","0","0","0","4.8","1","21","20289","  1"
"2019-20","Fall","CS","6204","TS:Secret Life of Storage Sys","Butt","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","90120","  3"
"2019-20","Fall","CS","5560","Fundamentals of Info Security","Park","3.34","0","57.1","14.3","14.3","0","14.3","0","0","0","0","0","0","0","7","90493","  3"
"2019-20","Fall","CS","5565","Network Arch and Protocols","Wang","3.86","71.4","14.3","14.3","0","0","0","0","0","0","0","0","0","0","7","90573","  3"
"2019-20","Spring","CS","3654","Intro Data Analytics & Visual","Sengupta","4","100","0","0","0","0","0","0","0","0","0","0","0","1","7","13020","  3"
"2019-20","Spring","CS","6524","Deep Learning","Xuan","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","20577","  3"
"2019-20","Spring","CS","4984","SS: Machine Learning Capstone","Eldardiry","3.76","57.1","14.3","28.6","0","0","0","0","0","0","0","0","0","0","7","21706","  3"
"2020-21","Fall","CS","5264","Adv Linux Kernel Programming","Min","3.81","57.1","28.6","14.3","0","0","0","0","0","0","0","0","0","0","7","91567","  3"
"2020-21","Spring","CS","5854","Computational Systems Biology","Murali","3.67","28.6","42.9","28.6","0","0","0","0","0","0","0","0","0","0","7","13311","  3"
"2020-21","Spring","CS","6524","Deep Learning","Xuan","3.59","42.9","28.6","0","14.3","14.3","0","0","0","0","0","0","0","0","7","13386","  3"
"2020-21","Spring","CS","6804","TS: AI Tech Cybersecurity Def","Yao","3.81","85.7","0","0","0","14.3","0","0","0","0","0","0","0","0","7","13394","  3"
